consent,work_status,ai_use_work,work_feels_central,ai_question_value,purpose_despite_ai,control_over_ai_use,fair_credit_with_ai,open_about_ai_concerns,ai_obsolete_worry,upskilling_for_ai,belonging_changed_ai,ai_increased_pace,ai_increased_availability,ai_stigma,ai_alignment_ethics,values_alignment,work_clarity,emotional_energy,trust_information_work,feels_true_today,wellbeing_cheerful,wellbeing_calm,wellbeing_active,wellbeing_fresh_rested,wellbeing_interested,open_identity_change,open_ai_improvement,attention_check,industry,role_seniority,org_size,work_hours,ai_task_percentage,role_tenure,age_group,country,gender,industry_other,role_seniority_other
yes,employed_full_time,no_never,1,1,5,1,4,4,1,3,1,4,4,4,4,0,3,1,4,people_understand_better,4,2,2,1,4,not at all,replacing the managers,pass,transport_logistics_warehousing,intermediate_experienced,5000_or_more,40_49,1_10,3_5_years,35_44,ca,man,,
yes,employed_part_time,yes_occasionally,4,4,5,5,4,5,4,5,5,5,5,4,5,7,8,5,5,depends_same,3,4,3,3,3,It has automated things a tad more,Faster systems would be great.,pass,retail_sales_consumer_services,intermediate_experienced,5000_or_more,10_19,11_25,6_10_years,25_34,uk,man,,
yes,employed_full_time,no_never,7,2,7,2,5,7,1,4,4,1,1,1,4,10,10,8,9,people_understand_better,4,3,4,4,4,it has not changed my work identity.,"insight into ""the black box."" I need to understand the tool to have it integrated into my purpose at work",pass,health_social_care,entry_level,5000_or_more,40_49,0_none,1_2_years,25_34,ca,man,,
yes,employed_part_time,yes_occasionally,5,7,3,3,5,4,7,3,6,7,5,3,7,6,7,3,7,ai_understands_better,1,2,3,2,1,Ai makes me and my work feel meaningless,Using it to increase my wage significantly,pass,retail_sales_consumer_services,intermediate_experienced,5000_or_more,20_29,1_10,1_2_years,25_34,ca,man,,
yes,employed_full_time,yes_daily,6,3,6,4,6,4,5,7,3,5,3,5,5,6,6,4,5,people_understand_better,2,1,1,1,2,"AI's made me question my role as a doctor, sometimes I feel like a glorified data entry clerk insted of a healer. It makes things faster but, honestly, it also makes me feel less needed at times. Sometimes I wonder if my unique quirks, like my ADHD and autism, are even noticed anymore by collegues or just lost in the system. It ain't all bad, but it sure is weird. (typo: insted, collegues; sentence structure error: 'It ain't all bad, but it sure is weird.')","If AI could actualy learn to see me as more than just a set of numbers or a diagnosis machine, that'd be somethin. I wish it would help me connect with my patients insted of just making me click boxes all day. Sometimes it feels like the tech is runnin the show, not the doc. (typo: actualy, insted; sentence structure error: 'Sometimes it feels like the tech is runnin the show, not the doc.')",pass,health_social_care,senior_specialist,50_249,50_or_more,11_25,6_10_years,35_44,us,man,,
yes,employed_full_time,yes_occasionally,5,4,5,3,2,6,5,5,3,5,1,2,4,7,8,6,9,people_understand_better,3,2,3,1,3,I don't think AI has changed how I see myself and my sense of who I am at work. I think AI has only helped in some scenarios that AI was needed in and didn't change or effect too much on how went about my job.,I would say its not applicable in my current job and climate of my role.,pass,finance_banking_insurance,intermediate_experienced,5000_or_more,40_49,11_25,3_5_years,25_34,uk,man,,
yes,employed_full_time,yes_daily,6,3,5,5,4,6,4,6,5,4,5,4,5,9,8,7,9,people_understand_better,4,3,4,4,5,"AI has subtly shifted my role from being the sole navigator to a kind of systems integrator. It's not about outsourcing decisions, but about layering insight and clarity into how I work. AI is simply a helping tool and assists, but I still define the boundaries and have the final say.","If AI could reliably interpret context-specific nuance in interpersonal relations, it would further help things along in my line of work.",pass,retail_sales_consumer_services,intermediate_experienced,2_9,30_39,11_25,3_5_years,35_44,nz,man,,
yes,employed_part_time,no_never,5,3,5,4,4,5,3,5,4,3,3,6,4,7,6,5,7,people_understand_better,2,3,1,1,1,Not really at all i just use it as an additional proofreader.,Improving it's critical abilities I would trust it more if it could disagree with me.,pass,retail_sales_consumer_services,intermediate_experienced,2_9,20_29,0_none,1_2_years,18_24,ca,prefer_not_to_say,,
yes,employed_full_time,yes_daily,4,5,3,4,3,2,5,5,2,5,5,5,3,8,8,5,9,people_understand_better,4,3,1,2,1,I don't feel like AI changed who I am at work.,Help me improve my emails,pass,government_public_administration,intermediate_experienced,5000_or_more,30_39,51_75,1_2_years,18_24,ca,woman,,
yes,employed_full_time,yes_weekly,4,2,5,5,4,4,5,3,1,2,2,2,3,5,5,1,7,people_understand_better,1,3,1,1,1,"I have mixed feelings of AI. When I use it correctly, it makes me work more efficiently. But I also feel at times that I'm cheating in a way and feel a bit of guilt.",I can't think of any at the moment.,pass,education_training,intermediate_experienced,not_sure,40_49,1_10,6_10_years,25_34,ca,woman,,
yes,employed_full_time,yes_daily,6,2,6,6,5,7,3,5,6,3,3,2,5,7,8,8,7,people_understand_better,4,4,3,3,3,"AI has made me more aware of how important human judgment is in managing health records. While AI helps organize and flag data faster, I still need to review and interpret information to ensure accuracy and privacy.","If AI could better understand the context behind patient data, it would make my work feel more meaningful. it could support better decision-making and reduce errors.",pass,health_social_care,entry_level,50_249,40_49,26_50,6_11_months,18_24,ca,woman,,
yes,employed_full_time,no_never,3,1,3,4,4,4,1,3,4,1,1,6,4,4,6,0,8,people_understand_better,2,3,1,1,2,Unfortunately my workplace has not adopted AI at the moment and seems unlikely to in the near future. I am using some tools myself but not in any official capacity.,It would help in mundane tasks but at the moment is not allowed.,pass,health_social_care,manager_team_leader,5000_or_more,40_49,0_none,3_5_years,55_65,uk,woman,,
yes,employed_full_time,yes_daily,5,6,5,6,6,5,7,7,5,6,1,4,3,6,7,7,8,people_understand_better,4,4,5,4,4,"AI has allowed me to focus more on the unique problems that arise from specific conditions at work. Before AI, I would have to do standard problem solving while dealing with unique problems. Now, I can focus more of my energy on the unique issues because the standard work and inquiries have been trivialized by AI.",Tailor-made answers for my specific role instead of general answers.,pass,retail_sales_consumer_services,senior_specialist,1000_4999,40_49,26_50,3_5_years,25_34,ca,man,,
yes,employed_full_time,yes_daily,5,6,6,6,5,6,6,5,4,7,2,1,6,7,7,2,7,depends_same,3,4,4,3,3,I see AI as a tool that helps me accomplish tasks quicker and AI has helped me prioritize more important tasks to be more productive at work.,"I think providing a brief background about myself in the context so that in the responses that the prompts generate it personalizes the response to my background e.g., my learning style, how I prefer to see a response.",pass,information_technology_software,entry_level,2_9,40_49,26_50,1_2_years,18_24,ca,man,,
yes,employed_full_time,yes_weekly,7,2,7,7,7,7,2,6,4,5,1,2,6,9,8,6,9,people_understand_better,4,3,3,3,4,"It hasn't changed my sense of who I am, just streamlined and made more efficient some aspects of my workflow.","I just want to ensure that I am still primarily responsible for my own creative process. I also want to make sure that while becoming more proficient in applying AI tools to my own work, my primary tasks are not replaced outright by AI. As it stands, it is unclear where AI is going in this regard.",pass,media_arts_entertainment,senior_specialist,50_249,40_49,11_25,3_5_years,35_44,us,man,,
yes,employed_part_time,yes_weekly,6,3,6,6,6,6,1,5,2,4,3,1,5,8,8,7,9,people_understand_better,4,4,4,3,4,"No not really .. And if someone is changed by ai, they should bin it off .. Lower usage, depending on ai to do your job is outrageous .. You're making yourself obsolete , use your own brain , its an Ai(d) not a necessity",none,pass,manufacturing_production,manager_team_leader,10_49,30_39,1_10,more_than_10_years,55_65,uk,man,,
yes,employed_full_time,yes_occasionally,1,1,5,5,4,6,1,1,1,2,1,1,4,2,7,1,6,people_understand_better,3,2,1,1,2,"It has not changed my sense of self relating to work, as it is more occasionally used and not fully integrated into my company",Making certain daily and repetitive tasks more efficient without taking away from my attention to detail or accuracy,pass,retail_sales_consumer_services,manager_team_leader,50_249,40_49,1_10,3_5_years,35_44,ca,woman,,
yes,employed_full_time,yes_weekly,7,3,6,7,7,6,1,5,4,5,5,1,6,9,9,8,9,people_understand_better,4,5,5,4,5,It helps me do my work better and more quick and lets me check better and quicker,Make ai systems more intergrated with the work systems,pass,hospitality_food_tourism,manager_team_leader,1000_4999,40_49,11_25,6_10_years,35_44,ca,man,,
yes,employed_full_time,yes_daily,6,2,6,6,5,5,2,6,2,6,6,2,6,9,9,9,9,people_understand_better,4,4,4,4,4,AI has helped me work faster and focus more on solving problems instead of doing routine tasks. It's also made me realize how important it is to think carefully and use technology wisely.,"If AI could better understand context and my specific work goals, it would help me use it more effectively and make my work feel more meaningful.",pass,professional_scientific_technical_services,senior_specialist,50_249,30_39,1_10,3_5_years,25_34,ca,man,,
yes,employed_part_time,yes_weekly,7,1,7,7,7,7,1,4,1,5,4,1,7,8,10,10,8,people_understand_better,4,4,3,4,4,More efficient and knowledgable about products.,Make me be able to relate better with customers.,pass,retail_sales_consumer_services,manager_team_leader,50_249,20_29,11_25,3_5_years,55_65,ca,woman,,
yes,employed_full_time,yes_daily,2,5,3,6,6,7,5,7,4,3,3,1,5,2,6,3,7,people_understand_better,2,4,3,1,4,"It has made me feel more replaceable and job security has gone down. AI currently not good enough, and I perform functions AI cannot do yet, but I do fear this will change in the future.","Reduce the tedious tasks that have to be done such as admin, and ideally help mitigate communications with more troublesome people in my org",pass,information_technology_software,entry_level,50_249,40_49,26_50,1_2_years,25_34,nz,man,,
yes,employed_full_time,yes_occasionally,5,1,5,6,4,4,5,2,1,1,1,5,2,2,9,5,8,people_understand_better,2,2,1,1,2,It hasn't made any difference to my sense of who I am at work.,If I became an expert in AI.,pass,media_arts_entertainment,manager_team_leader,50_249,40_49,1_10,6_10_years,45_54,uk,woman,,
yes,employed_full_time,yes_daily,3,7,3,3,4,6,7,6,2,7,6,2,4,4,2,5,6,depends_same,3,3,3,3,3,"Yes, I feel less sure about the future and worry I will lose my job to AI in the next twelve months.",None.,pass,finance_banking_insurance,manager_team_leader,50_249,40_49,11_25,more_than_10_years,55_65,au,man,,
yes,employed_full_time,yes_occasionally,6,3,6,6,5,4,5,6,2,4,1,6,5,9,6,0,6,ai_understands_better,1,1,1,1,1,"Since I only use the computer occasionally for my work, AI just plays a supporting role when I need to do written tasks.","AI has provided me with a lof of help, allowing me as a non-native speaker to better integrate into my work environment.",pass,nonprofit_community_charity_work,entry_level,50_249,40_49,11_25,3_5_years,25_34,ca,woman,,
yes,employed_full_time,yes_weekly,6,2,6,7,5,4,3,6,2,3,1,1,5,7,8,8,8,people_understand_better,4,5,4,4,4,It made me more productive and took away boring work. Made me able to use my advanced skills more.,Automate even more boring repetative tasks!,pass,information_technology_software,senior_specialist,5000_or_more,40_49,26_50,6_10_years,25_34,ca,man,,
yes,employed_full_time,yes_weekly,5,4,5,4,3,3,6,2,4,5,5,6,4,5,3,1,4,people_understand_better,2,2,1,1,1,"it has created a new element to include in my work. with no adequate training, there is a high expectation to learn in person time and succeed",not sure,pass,legal_compliance,senior_specialist,250_999,40_49,11_25,3_5_years,35_44,au,woman,,
yes,employed_full_time,yes_weekly,3,2,6,6,5,5,3,5,2,2,2,2,2,7,7,7,7,ai_understands_better,4,4,4,5,4,It has made me realize how easily certain aspects of my job can be automated,More personalized,pass,other,senior_specialist,250_999,30_39,11_25,1_2_years,18_24,ca,man,Pharmaceutical,
yes,employed_full_time,no_never,4,3,4,2,3,4,5,3,4,4,4,6,4,5,7,5,6,people_understand_better,4,4,3,3,4,"AI makes me realize I am valuable since I am NOT a machine and my life experience and ability to offer my own thoughts based on that they are more valuable in ""real life"".","AI needs to disappear, robots can do the work humans don't want to and honestly corporations suck for replacing humans who actually buy the garbage they are pedaling.",pass,finance_banking_insurance,intermediate_experienced,250_999,30_39,1_10,more_than_10_years,45_54,ca,woman,,
yes,self_employed_freelance,yes_occasionally,7,1,7,7,7,7,1,4,4,2,2,6,4,9,8,7,6,people_understand_better,3,2,2,2,1,"I don't think it has changed me. AI helps me put my OWN thoughts in better order, organize them and put them in more cohesive manner but it's still me doing the work. Just with a little help",Ai is still in its infancy and I still don't one hundred percent rely on it because it has a lot of inaccuracies but only time will tell,pass,other,owner_founder,2_9,10_19,1_10,more_than_10_years,35_44,us,woman,Home services,
yes,employed_full_time,yes_daily,3,4,6,4,5,5,7,6,2,5,6,5,6,7,7,8,7,people_understand_better,2,4,3,1,1,it's made me more focused on how to solve a solution rather than someone that knows everything already.,To have a personalised AI and to be commended regardingless of using AI or not to assist,pass,information_technology_software,intermediate_experienced,1000_4999,40_49,1_10,3_5_years,25_34,nz,man,,
yes,employed_part_time,yes_daily,6,5,7,6,7,7,7,7,6,7,7,1,6,8,7,7,8,people_understand_better,4,4,4,4,3,"Its made me more productive and less productive at the same time. Because of AI, putting thoughts into reality doesn't take time, so most of the time when I make things with AI easily and see it doesn't work as intended, I feel frustrated about my thinking ability.","At this point, Job security",pass,information_technology_software,manager_team_leader,250_999,20_29,51_75,1_2_years,25_34,ca,man,,
yes,employed_full_time,yes_weekly,6,3,6,6,6,6,2,5,2,5,5,4,2,8,8,7,7,people_understand_better,4,4,4,4,4,it has helped me go beyond my potential and open new doors that were previously difficult to open,"Difficult to say, id like to build it in more but not lose my identity",pass,transport_logistics_warehousing,manager_team_leader,1000_4999,40_49,11_25,6_10_years,35_44,uk,man,,
yes,employed_part_time,yes_daily,6,1,6,6,6,6,1,1,1,1,1,1,6,8,8,8,8,people_understand_better,4,4,4,4,4,Not at all,None that I know of,pass,health_social_care,manager_team_leader,250_999,20_29,1_10,3_5_years,45_54,au,woman,,
yes,employed_full_time,yes_daily,5,3,5,5,4,6,5,4,3,3,3,3,5,7,7,7,8,ai_understands_better,2,3,3,2,3,I feel guilt for relying on it too much,not sure,pass,retail_sales_consumer_services,entry_level,2_9,30_39,1_10,1_2_years,35_44,uk,woman,,
yes,employed_full_time,yes_daily,7,2,6,7,7,6,7,6,6,7,7,1,7,10,10,9,9,people_understand_better,4,5,4,4,3,AI has enhanced my confidence in my work by almost always providing solutions which I have already thought of.,It should be personalized to be unique and suitable for each person.,pass,manufacturing_production,manager_team_leader,5000_or_more,40_49,26_50,3_5_years,25_34,us,woman,,
yes,employed_full_time,yes_occasionally,5,7,4,3,3,2,5,6,7,5,2,4,2,6,7,3,5,people_understand_better,1,1,1,1,1,It has fastened my pace and made me work faster.,Quality of answer as its often wrong,pass,information_technology_software,manager_team_leader,1000_4999,40_49,11_25,6_10_years,35_44,us,man,,
yes,employed_full_time,yes_weekly,4,5,6,6,6,7,7,5,2,4,2,1,5,4,7,6,9,people_understand_better,2,2,1,1,3,It's made me question the long-term prospects of my role and whether my particular role will be overtaken by AI,Reassurance,pass,transport_logistics_warehousing,manager_team_leader,10_49,40_49,11_25,1_2_years,25_34,au,woman,,
yes,employed_full_time,yes_occasionally,4,2,5,6,5,4,3,5,2,2,2,4,4,6,6,1,5,people_understand_better,2,3,2,1,3,It has not really changed how I see myself in regards to my work.,If it could help me learn to have more empathy sometimes.,pass,nonprofit_community_charity_work,manager_team_leader,50_249,40_49,1_10,more_than_10_years,35_44,us,woman,,
yes,employed_full_time,yes_weekly,3,5,4,5,4,5,6,6,4,3,3,2,2,2,4,1,8,depends_same,1,3,1,1,1,It has made me challenge my abilities and capabilities. It has also led me to worry if I can be replaced.,If it can help incorporate and assist with my repetitive and simple work.,pass,finance_banking_insurance,entry_level,1000_4999,40_49,1_10,6_11_months,18_24,ca,man,,
yes,self_employed_freelance,no_never,5,7,4,2,4,4,6,4,2,5,6,7,4,6,6,4,7,people_understand_better,1,1,1,1,4,"I worry that human educators will be less valued because students want quick answers and want AI to do work for them, rather than think and write for themselves.",Getting rid of AI altogether or only using it for minor things like word editing.,pass,education_training,intermediate_experienced,250_999,30_39,0_none,1_2_years,25_34,us,woman,,
yes,employed_full_time,yes_daily,6,1,6,6,5,6,4,5,5,5,4,6,5,9,9,9,9,people_understand_better,3,3,4,3,4,I felt more confident in wrtiting tasks more accurately than before.,It made me work faster and more efficient.,pass,health_social_care,intermediate_experienced,250_999,30_39,11_25,more_than_10_years,55_65,uk,man,,
yes,employed_full_time,yes_occasionally,2,2,2,4,2,5,2,2,2,1,1,1,3,5,6,3,3,people_understand_better,3,4,2,2,3,it hasn't,not sure,pass,education_training,intermediate_experienced,10_49,30_39,1_10,1_2_years,25_34,au,man,,
yes,employed_full_time,yes_occasionally,7,2,5,7,2,6,1,6,4,2,1,1,6,2,9,6,5,depends_same,4,4,3,4,4,It has just gave me a means of working more efficiently which means more time and less stress while handling other time sensitive matters. Confidence grown.,Make it easier for all types of people to use; older people still struggle with it.,pass,transport_logistics_warehousing,director_executive,5000_or_more,50_or_more,1_10,3_5_years,35_44,us,man,,
yes,employed_part_time,yes_daily,7,3,7,6,5,6,1,7,4,6,6,3,7,8,7,6,7,people_understand_better,4,4,3,2,4,"AI has made me more reflective about what uniquely human value I bring to my work. It's pushed me to focus less on repetitive tasks and more on creativity, intuition, and judgment qualities that AI can't replicate. I now see myself less as just a âworkerâ and more as a curator of meaning who collaborates with intelligent tools rather than competes with them.","I think clearer recognition of human creativity and decision-making alongside AI contributions would strengthen purpose. When people are credited not just for output but for the direction, taste, or care they bring to AI-assisted work, it reinforces that technology is there to amplify human purpose, not replace it.",pass,information_technology_software,intermediate_experienced,50_249,30_39,51_75,3_5_years,25_34,uk,man,,
yes,employed_full_time,yes_daily,6,7,6,6,7,6,5,6,3,7,7,6,3,8,8,9,7,people_understand_better,4,3,4,4,4,"I am the same, but AI help me to be more efficient and creative",better understand my personality and long-term goals,pass,professional_scientific_technical_services,manager_team_leader,250_999,30_39,26_50,more_than_10_years,55_65,ca,man,,
yes,employed_full_time,yes_occasionally,2,4,4,6,5,7,6,4,5,6,1,2,5,3,3,4,7,people_understand_better,4,3,3,3,4,"AI has made me realize how much my work can be automated, which shows how redundant I am in the company. There are several duties which are not able to be done by AI, but maybe half of my job can be done by AI and that is a sobering thought.","I think being able to use AI to supplement my work identity, rather than replace it. I am not sure how this would happen, but I think using AI to help support my work and the conclusions that I give to questions would be beneficial rather than AI finding these conclusions that are better than the ones that I give as part of my work.",pass,education_training,senior_specialist,50_249,30_39,11_25,1_2_years,25_34,ca,man,,
yes,employed_part_time,yes_occasionally,3,5,4,5,3,4,5,3,2,3,4,5,4,5,7,3,6,people_understand_better,2,1,1,1,2,AI changed my sense of self of who I am at work because I feel more inclined to search or find recommendations using AI rather than my own judgement. I feel sometimes useless are less competent when I feel like I must ask AI to answer a question.,A change that would make AI improve my identity and purpose at work is by providing helpful guidance and assistance for me to find the answer myself.,pass,retail_sales_consumer_services,intermediate_experienced,5000_or_more,20_29,1_10,1_2_years,25_34,ca,woman,,
yes,employed_full_time,no_never,4,1,4,4,4,7,1,4,1,1,1,1,4,7,10,9,9,people_understand_better,5,5,5,5,5,I don't use Ai at work,None,pass,manufacturing_production,intermediate_experienced,50_249,40_49,0_none,3_5_years,35_44,us,man,,
yes,employed_full_time,yes_weekly,5,2,5,6,6,4,2,2,2,2,2,5,5,8,8,6,9,people_understand_better,4,4,4,3,3,"I use AI as another tool, so in that sense it hasn't changed me at all. It's just another tool like a word processor or graphics design program. I don't feel that my word processor has changed my sense of who I am, and in the same way I don't think ChatGPT has changed who I am.","Nothing. I don't need to have my identity of purpose formed from an AI. I think this is part of the issue we have with AI at the moment, and it's possibly because of the nomenclature. AI isn't artificial intelligence at all, it's a large language model. It's not sentient, it doesn't care about us, it doesn't understand what it's being asked to do. It's not even an 'it', really. It's just a very complicated set of decisions that outputs text.",pass,education_training,manager_team_leader,10_49,40_49,11_25,6_10_years,45_54,uk,man,,
yes,employed_full_time,yes_weekly,5,1,7,5,6,6,2,6,2,5,4,3,5,7,7,5,8,people_understand_better,3,2,4,3,3,"AI has had (to this point) an added sense of confidence in my work. When my research is aligned to AI, it provides additional reassurance.",Improved accuracy and consistency.,pass,finance_banking_insurance,intermediate_experienced,5000_or_more,40_49,1_10,more_than_10_years,55_65,ca,man,,
yes,employed_full_time,yes_daily,7,2,7,7,6,7,2,7,1,2,1,3,5,7,8,7,6,people_understand_better,3,3,2,3,4,"It hasn't changed my sense of who I am at all, but it has given me more time to spend on the things I enjoy.",If AI was universally accepted by everyone in my workplace.,pass,education_training,manager_team_leader,50_249,30_39,1_10,3_5_years,35_44,au,man,,
yes,employed_full_time,yes_daily,5,5,6,5,4,6,2,4,1,3,4,4,5,7,8,6,6,people_understand_better,4,4,5,4,4,"It has changed the way I think and the way I do tasks at work, I find my productivity levels are higher",Getting better output from our AI sources to complete tasks more accurately,pass,finance_banking_insurance,manager_team_leader,5000_or_more,30_39,51_75,6_10_years,45_54,ca,woman,,
yes,employed_full_time,yes_daily,6,6,7,7,4,6,2,2,1,6,6,2,4,7,10,9,9,depends_same,4,1,4,4,1,"stream lines emails, processes and documents for me. Much faster so i can get on with other important details.",can automatically do things and predict patterns instead of me asking for it to be done,pass,health_social_care,manager_team_leader,50_249,40_49,11_25,3_5_years,35_44,au,woman,,
yes,employed_full_time,yes_occasionally,5,3,5,5,6,6,3,5,4,3,3,2,5,7,8,7,8,people_understand_better,4,4,3,4,4,A tool is just a tool and I am still me.,My identity and purpose do not need adjustment.,pass,health_social_care,intermediate_experienced,50_249,30_39,1_10,1_2_years,55_65,uk,man,,
yes,employed_full_time,yes_daily,7,7,6,1,2,2,6,2,2,7,4,1,5,2,4,8,7,depends_same,4,4,5,5,5,AI has made me feel inefficient at work and I've felt that my skill sets are inferior. I feel okay though as AI is moving at a fast pace that I'm just taking my time to keep myself informed as there is no way I can keep up with the fast pace of it all.,If it's intention was more clearer. Is the intention to replace humans or to work alongside humans.,pass,legal_compliance,intermediate_experienced,10_49,40_49,1_10,3_5_years,45_54,nz,woman,,
yes,employed_full_time,yes_weekly,5,2,6,4,5,6,2,4,1,3,4,3,4,7,8,7,9,people_understand_better,4,3,3,2,4,It did not change. It has no influence to who I am at work.,"I don't want AI to change that. I want to use it purely as a tool, like many others that I use at work.",pass,information_technology_software,manager_team_leader,250_999,30_39,1_10,3_5_years,35_44,au,man,,
yes,employed_full_time,yes_daily,5,4,6,3,5,6,5,3,2,5,3,4,6,9,9,7,6,people_understand_better,2,2,3,2,2,"It's given me the ability to work faster, get information easier, be more creative. It's like a skilled assistant and it's only benefited me by making me more capable, creative, and knowledgeable.","Being able to rely on it more, as I still need to spend a lot of time checking facts and mistakes that AI almost always makes.",pass,retail_sales_consumer_services,manager_team_leader,50_249,40_49,11_25,3_5_years,35_44,uk,man,,
