variable,question_text,description,type,values
consent,I am 18+ and consent to take part. I understand anonymised data will be published openly.,Consent to participate and allow anonymised data to be published.,categorical,Allowed values: yes
work_status,Which best describes your current work status?  ,Current employment status,categorical,Allowed values: employed_full_time; employed_part_time; self_employed_freelance
ai_use_work,Do you use any AI tools or features in your work ,Frequency of AI tool usage in participant's work,categorical,Allowed values: yes_daily; yes_weekly; yes_occasionally; no_never
work_feels_central,My work still feels central to who I am.   ,Perceived centrality of work to personal identity.,numeric,Scale 1-7 1 = Strongly disagree ; 4 = Neutral ; 7 = Strongly agree
ai_question_value,AI makes me question my value at work.  ,Extent to which AI prompts questioning of personal value at work.,numeric,Scale 1-7 1 = Strongly disagree ; 4 = Neutral ; 7 = Strongly agree
purpose_despite_ai,I find a sense of purpose in my work even as AI tools spread. ,Sense of purpose in work despite increasing AI adoption.,numeric,Scale 1-7 1 = Strongly disagree ; 4 = Neutral ; 7 = Strongly agree
control_over_ai_use,I feel in control of how AI is used in my role.  ,Perceived control over AI usage in participant’s role.,numeric,Scale 1-7 1 = Strongly disagree ; 4 = Neutral ; 7 = Strongly agree
fair_credit_with_ai,When AI helps my output I receive fair credit/recognition.  ,Perceived fairness of credit/recognition when AI contributes to work output.,numeric,Scale 1-7 1 = Strongly disagree ; 4 = Neutral ; 7 = Strongly agree
open_about_ai_concerns,I can be open about concerns or mistakes with AI at work without negative consequences. ,Psychological safety around discussing AI-related concerns or mistakes at work.,numeric,Scale 1-7 1 = Strongly disagree ; 4 = Neutral ; 7 = Strongly agree
ai_obsolete_worry,I worry my skills will become obsolete because of AI. ,Concern about skill obsolescence due to AI.,numeric,Scale 1-7 1 = Strongly disagree ; 4 = Neutral ; 7 = Strongly agree
upskilling_for_ai,I am actively upskilling to stay relevant alongside AI. ,Self-reported upskilling to remain relevant alongside AI.,numeric,Scale 1-7 1 = Strongly disagree ; 4 = Neutral ; 7 = Strongly agree
belonging_changed_ai,My sense of belonging in my team has changed because of AI. ,Perceived change in team belonging due to AI.,numeric,Scale 1-7 1 = Much less belonging ; 4 = Neutral ; 7 = Much more belonging
ai_increased_pace,AI has increased the pace/expectations of my work. ,Perceived increase in work pace or expectations due to AI.,numeric,Scale 1-7 1 = Strongly disagree ; 4 = Neutral ; 7 = Strongly agree
ai_increased_availability,AI has increased the expectation to be available or produce outside normal hours. ,Perceived increase in out-of-hours expectations due to AI.,numeric,Scale 1-7 1 = Strongly disagree ; 4 = Neutral ; 7 = Strongly agree
ai_stigma,Using AI at work carries stigma (e.g. seen as cheating or less skilled) ,Perceived stigma associated with using AI at work.,numeric,Scale 1-7 1 = Strongly disagree ; 4 = Neutral ; 7 = Strongly agree
ai_alignment_ethics,The way AI is used in my workplace aligns with my personal ethics. ,Perceived ethical alignment of workplace AI usage.,numeric,Scale 1-7 1 = Strongly disagree ; 4 = Neutral ; 7 = Strongly agree
values_alignment,How aligned is your work with your personal values right now?  ,Perceived alignment between work and personal values.,numeric,Scale 0-10 0 = Not at all; 10 = Completely
work_clarity,How clear do you feel about your priorities and decisions at work? ,Clarity of work priorities and workplace decision-making.,numeric,Scale 0-10 0 = Not at all; 10 = Completely
emotional_energy,How is your emotional energy most days at work? ,Self-reported emotional energy at work.,numeric,Scale 0-10 0 = Very depleted; 10 = Very energised
trust_information_work,"In general, how much do you trust information you use at work (from people, systems, and tools)? ",Trust in work-related information sources.,numeric,Scale 0-10 0 = Not at all; 10 = Completely
feels_true_today,Which feels more true today? ,Selection between two identity-related statements.,categorical,Allowed values: people_understand_better; ai_understands_better; depends_same; prefer_not_to_say
wellbeing_cheerful,I have felt cheerful and in good spirits  ,WHO-5 item: feeling cheerful and in good spirits.,numeric,Scale 1 - 5 1= At no time ; 5 = All of the time
wellbeing_calm,I have felt calm and relaxed.  ,WHO-5 item: feeling calm and relaxed.,numeric,Scale 1 - 5 1= At no time ; 5 = All of the time
