"variable,description,values"
"consent,Participant confirmed they are 18+ and consent to anonymised data being published,""1 = Consented (required to proceed)"""
"prolific_id,Unique Prolific participant ID,Text string"
"work_status,Current employment status,""Employed full-time; Employed part-time; Self-employed / freelance"""
"ai_use_work,Frequency of AI tool usage in participant's work,""3 = Yes, daily; 2 = Yes, weekly; 1 = Yes, occasionally; 0 = No, never"""
"work_feels_central,My work still feels central to who I am,1–7 Likert (1 = Strongly disagree, 7 = Strongly agree)"
"ai_question_value,AI makes me question my value at work,1–7 Likert (1 = Strongly disagree, 7 = Strongly agree)"
"purpose_despite_ai,I find a sense of purpose in my work even as AI tools spread,1–7 Likert (1 = Strongly disagree, 7 = Strongly agree)"
"control_over_ai_use,I feel in control of how AI is used in my role,1–7 Likert"
"fair_credit_with_ai,When AI helps my output, I receive fair credit/recognition,1–7 Likert"
"open_about_ai_concerns,I can be open about concerns or mistakes with AI at work without negative consequences,1–7 Likert"
"ai_obsolete_worry,I worry my skills will become obsolete because of AI,1–7 Likert"
"upskilling_for_ai,I am actively upskilling to stay relevant alongside AI,1–7 Likert"
"belonging_changed_ai,My sense of belonging in my team has changed because of AI,1–7 Likert"
"ai_increased_pace,AI has increased the pace/expectations of my work,1–7 Likert"
"ai_increased_availability,AI has increased the expectation to be available or produce outside normal hours,1–7 Likert"
"ai_stigma,Using AI at work carries stigma,1–7 Likert"
"ai_alignment_ethics,The way AI is used in my workplace aligns with my personal ethics,1–7 Likert"
"values_alignment,How aligned is your work with your personal values?,1–7 Likert"
"work_clarity,How clear do you feel about your priorities and decisions at work?,1–7 Likert"
"emotional_energy,How is your emotional energy most days at work?,1–7 Likert"
"trust_information_work,How much do you trust information you use at work?,1–7 Likert"
"feels_true_today,Which statement feels more true today?,Text (categorical)"
"wellbeing_cheerful,I have felt cheerful and in good spirits (wellbeing item),1–10 scale"
"wellbeing_calm,I have felt calm and relaxed (wellbeing item),1–10 scale"
"wellbeing_active,I have felt active and vigorous (wellbeing item),1–10 scale"
"wellbeing_fresh_rested,I woke up feeling fresh and rested (wellbeing item),1–10 scale"
"wellbeing_interested,My daily life has been filled with things that interest me (wellbeing item),1–10 scale"
"open_identity_change,Open-text: How AI has changed participant’s sense of identity at work,Free text"
"open_ai_improvement,Open-text: What change would improve participants' sense of identity/purpose with AI at work,Free text"
"attention_check,Quality check item requiring “Agree” response,""Agree / Strongly agree = Pass; Disagree = Fail (1 participant removed)"""
"industry,Participant’s main work industry,""Controlled list + cleaned 'Other' entries"""
"role_seniority,Current role level or seniority,""Controlled list + cleaned 'Other' entries"""
"org_size,Size of participant’s workplace,""Just me; 2–9 people; 10–49 people; 50–249 people; 250–999 people; 1,000–4,999 people; 5,000 or more people; Not sure"""
"work_hours,Number of paid work hours per week,""<10; 10–19; 20–29; 30–39; 40–49; 50+"""
"ai_task_percentage,Percentage of tasks involving AI tools,""0%; 1–10%; 11–25%; 26–50%; 51–75%; 76–100%"""
"role_tenure,How long they have been in their current role,Controlled list"
"age_group,Participant age group,""18–24; 25–34; 35–44; 45–54; 55–64; Over 65"""
"country,Country of residence,""UK; US; Canada; Australia; Ireland; New Zealand"""
"gender,Gender identity,""Woman; Man; Non-binary; Prefer not to say"""
