consent,Prolific ID,work_status,ai_use_work,work_feels_central,ai_question_value,purpose_despite_ai,control_over_ai_use,fair_credit_with_ai,open_about_ai_concerns,ai_obsolete_worry,upskilling_for_ai,belonging_changed_ai,ai_increased_pace,ai_increased_availability,ai_stigma,ai_alignment_ethics,values_alignment,work_clarity,emotional_energy,trust_information_work,feels_true_today,wellbeing_cheerful,wellbeing_calm,wellbeing_active,wellbeing_fresh_rested,wellbeing_interested,open_identity_change,open_ai_improvement,attention_check�  , industry,role_seniority,org_size,work_hours,ai_task_percentage  ,role_tenure,age_group,  country ,gender
1,66708c3d9418ec5491c5483e,Employed full-time,0,1,1,5,1,4,4,1,3,1,4,4,4,4,0,3,1,4,People who know me understand me better than AI does,4,2,2,1,4,not at all,replacing the managers,Agree,"Transport, Logistics & Warehousing",Intermediate / Experienced (non-management professional),"5,000 or more people",40-49 hours,1-10%,3-5 years,35-44,Canada,Man
1,60e0dc6be0772b7dfdad9b2c,Employed part-time,1,4,4,5,5,4,5,4,5,5,5,5,4,5,7,8,5,5,It depends / about the same,3,4,3,3,3,It has automated things a tad more,Faster systems would be great.,Agree,"Retail, Sales & Consumer Services",Intermediate / Experienced (non-management professional),"5,000 or more people",10-19 hours,11-25%,6-10 years,25-34,UK,Man
1,69136c82bceeb638fd6213e1,Employed full-time,0,7,2,7,2,5,7,1,4,4,1,1,1,4,10,10,8,9,People who know me understand me better than AI does,4,3,4,4,4,it has not changed my work identity.,"insight into ""the black box."" I need to understand the tool to have it integrated into my purpose at work",Agree,Health & Social Care,"Entry level (early career, trainee, or assistant)","5,000 or more people",40-49 hours,0% (none of my tasks),1-2 years,25-34,Canada,Man
1,66bf6a0f9823f6ea72d66071,Employed part-time,1,5,7,3,3,5,4,7,3,6,7,5,3,7,6,7,3,7,AI systems understand me better than people I work with,1,2,3,2,1,Ai makes me and my work feel meaningless ,Using it to increase my wage significantly ,Agree,"Retail, Sales & Consumer Services",Intermediate / Experienced (non-management professional),"5,000 or more people",20-29 hours,1-10%,1-2 years,25-34,Canada,Man
1,60e7c5cd5803eaf98429d9a2,Employed full-time,3,6,3,6,4,6,4,5,7,3,5,3,5,5,6,6,4,5,People who know me understand me better than AI does,2,1,1,1,2,"AI's made me question my role as a doctor, sometimes I feel like a glorified data entry clerk insted of a healer. It makes things faster but, honestly, it also makes me feel less needed at times. Sometimes I wonder if my unique quirks, like my ADHD and autism, are even noticed anymore by collegues or just lost in the system. It ain't all bad, but it sure is weird. (typo: insted, collegues; sentence structure error: 'It ain't all bad, but it sure is weird.')","If AI could actualy learn to see me as more than just a set of numbers or a diagnosis machine, that'd be somethin. I wish it would help me connect with my patients insted of just making me click boxes all day. Sometimes it feels like the tech is runnin the show, not the doc. (typo: actualy, insted; sentence structure error: 'Sometimes it feels like the tech is runnin the show, not the doc.')",Agree,Health & Social Care,"Senior specialist (highly experienced, no direct reports)",50-249 people,50 hours or more,11-25%,6-10 years,35-44,US,Man
1,672c6d81f10d775112a46f36,Employed full-time,1,5,4,5,3,2,6,5,5,3,5,1,2,4,7,8,6,9,People who know me understand me better than AI does,3,2,3,1,3,I don't think AI has changed how I see myself and my sense of who I am at work. I think AI has only helped in some scenarios that AI was needed in and didn't change or effect too much on how went about my job.,I would say its not applicable in my current job and climate of my role.,Agree,"Finance, Banking & Insurance",Intermediate / Experienced (non-management professional),"5,000 or more people",40-49 hours,11-25%,3-5 years,25-34,UK,Man
1,664070b4d08d92e1c904a1e8,Employed full-time,3,6,3,5,5,4,6,4,6,5,4,5,4,5,9,8,7,9,People who know me understand me better than AI does,4,3,4,4,5,"AI has subtly shifted my role from being the sole navigator to a kind of systems integrator. It's not about outsourcing decisions, but about layering insight and clarity into how I work. AI is simply a helping tool and assists, but I still define the boundaries and have the final say.","If AI could reliably interpret context-specific nuance in interpersonal relations, it would further help things along in my line of work.",Agree,"Retail, Sales & Consumer Services",Intermediate / Experienced (non-management professional),2-9 people,30-39 hours,11-25%,3-5 years,35-44,New Zealand,Man
1,66bbcf42264d898b6c387619,Employed part-time,0,5,3,5,4,4,5,3,5,4,3,3,6,4,7,6,5,7,People who know me understand me better than AI does,2,3,1,0,1,Not really at all i just use it as an additional proofreader.,Improving it's critical abilities I would trust it more if it could disagree with me. ,Agree,"Retail, Sales & Consumer Services",Intermediate / Experienced (non-management professional),2-9 people,20-29 hours,0% (none of my tasks),1-2 years,18-24,Canada,Prefer not to say
1,6679a28dd8d6115812be3825,Employed full-time,3,4,5,3,4,3,2,5,5,2,5,5,5,3,8,8,5,9,People who know me understand me better than AI does,4,3,1,2,1,I don't feel like AI changed who I am at work.,Help me improve my emails,Agree,Government & Public Administration,Intermediate / Experienced (non-management professional),"5,000 or more people",30-39 hours,51-75%,1-2 years,18-24,Canada,Woman
1,654676d73282e9e8d26d129f,Employed full-time,2,4,2,5,5,4,4,5,3,1,2,2,2,3,5,5,1,7,People who know me understand me better than AI does,1,3,0,1,0,"I have mixed feelings of AI. When I use it correctly, it makes me work more efficiently. But I also feel at times that I'm cheating in a way and feel a bit of guilt. ",I can't think of any at the moment. ,Agree,Education & Training,Intermediate / Experienced (non-management professional),Not sure,40-49 hours,1-10%,6-10 years,25-34,Canada,Woman
